alpha,beta,status,anal_norm_hs,anal_norm_ps,anal_norm_md,total_analytical_score,raw_hs,raw_ps,raw_md
0.500000,0.500000,success,-20.684492,-57.901944,0.135133,-49.567898,53471.000000,2034,15.500000
0.500000,0.600000,success,-20.177322,-57.578695,0.135133,-48.885590,54203.000000,2050,15.500000
0.500000,0.700000,success,-19.653524,-58.346411,-0.201194,-48.967565,54959.000000,2012,14.500000
0.500000,0.800000,success,-19.990251,-56.810979,-0.201194,-48.556696,54473.000000,2088,14.500000
0.500000,0.900000,success,-15.588544,-64.326514,-1.210173,-48.840957,60826.000000,1716,11.500000
0.500000,1.000000,success,-17.431538,-60.285904,-0.873846,-48.448336,58166.000000,1916,12.500000
0.500000,1.100000,success,-15.743743,-62.023366,-1.210173,-48.086617,60602.000000,1830,11.500000
0.500000,1.200000,success,-15.905179,-63.195143,-1.210173,-48.954958,60369.000000,1772,11.500000
0.500000,1.300000,success,-16.947232,-62.912300,-0.873846,-49.539383,58865.000000,1786,12.500000
0.500000,1.400000,success,-12.210876,-67.074129,-2.219152,-48.854753,65701.000000,1580,8.500000
0.500000,1.500000,success,-13.677650,-64.488138,-1.882826,-48.745958,63584.000000,1708,9.500000
0.600000,0.500000,success,-15.896864,-67.356972,-0.201194,-56.411644,60381.000000,1566,14.500000
0.600000,0.600000,success,-14.909546,-68.609561,-0.537520,-56.397795,61806.000000,1504,13.500000
0.600000,0.700000,success,-14.026849,-70.023774,-0.873846,-56.652806,63080.000000,1434,12.500000
0.600000,0.800000,success,-13.762178,-68.690373,-1.210173,-55.944540,63462.000000,1500,11.500000
0.600000,0.900000,success,-14.134241,-70.064180,-0.873846,-56.959211,62925.000000,1432,12.500000
0.600000,1.000000,success,-12.941838,-71.276364,-1.210173,-56.917829,64646.000000,1372,11.500000
0.600000,1.100000,success,-12.280854,-72.003673,-1.546499,-57.184208,65600.000000,1336,10.500000
0.600000,1.200000,success,-12.787331,-71.074333,-1.546499,-57.287730,64869.000000,1382,10.500000
0.600000,1.300000,success,-12.337668,-72.569359,-1.546499,-57.889733,65518.000000,1308,10.500000
0.600000,1.400000,success,-11.966991,-70.953115,-1.882826,-57.174816,66053.000000,1388,9.500000
0.600000,1.500000,success,-11.739042,-71.195551,-1.882826,-57.280611,66382.000000,1376,9.500000
0.700000,0.500000,success,-9.623063,-76.973624,-1.210173,-64.109686,69436.000000,1090,11.500000
0.700000,0.600000,success,-9.611284,-77.216061,-1.546499,-64.590426,69453.000000,1078,10.500000
0.700000,0.700000,success,-9.899512,-77.014030,-1.546499,-64.891882,69037.000000,1088,10.500000
0.700000,0.800000,success,-9.908519,-77.014030,-1.546499,-65.055539,69024.000000,1088,10.500000
0.700000,0.900000,success,-10.153790,-76.933218,-1.546499,-65.398891,68670.000000,1092,10.500000
0.700000,1.000000,success,-9.958404,-76.407938,-1.546499,-64.990461,68952.000000,1118,10.500000
0.700000,1.100000,success,-8.490245,-77.862558,-2.219152,-65.435103,71071.000000,1046,8.500000
0.700000,1.200000,success,-9.321671,-75.721035,-2.219152,-64.989378,69871.000000,1152,8.500000
0.700000,1.300000,success,-8.606644,-78.226213,-2.219152,-66.249891,70903.000000,1028,8.500000
0.700000,1.400000,success,-8.974550,-77.175654,-2.219152,-66.104321,70372.000000,1080,8.500000
0.700000,1.500000,success,-8.558837,-77.579715,-2.219152,-66.193366,70972.000000,1060,8.500000
0.800000,0.500000,success,-6.624386,-81.216265,-2.219152,-72.706974,73764.000000,880,8.500000
0.800000,0.600000,success,-6.305673,-82.428448,-2.555479,-73.781718,74224.000000,820,7.500000
0.800000,0.700000,success,-6.850950,-81.579919,-2.219152,-73.668292,73437.000000,862,8.500000
0.800000,0.800000,success,-7.307541,-80.933422,-2.219152,-73.829601,72778.000000,894,8.500000
0.800000,0.900000,success,-5.905203,-82.388042,-2.891805,-74.418261,74802.000000,822,6.500000
0.800000,1.000000,success,-5.774946,-83.034539,-2.891805,-75.094382,74990.000000,790,6.500000
0.800000,1.100000,success,-6.104745,-82.670884,-2.555479,-75.052479,74514.000000,808,7.500000
0.800000,1.200000,success,-6.332002,-82.024387,-2.555479,-75.018085,74186.000000,840,7.500000
0.800000,1.300000,success,-6.192738,-82.792103,-2.555479,-75.748542,74387.000000,802,7.500000
0.800000,1.400000,success,-5.538683,-83.842661,-2.555479,-76.190482,75331.000000,750,7.500000
0.800000,1.500000,success,-6.093659,-81.216265,-2.555479,-74.899889,74530.000000,880,7.500000
0.900000,0.500000,success,-5.550461,-82.832509,-2.891805,-81.545621,75314.000000,800,6.500000
0.900000,0.600000,success,-5.556697,-83.196164,-2.219152,-81.764735,75305.000000,782,8.500000
0.900000,0.700000,success,-4.918577,-84.004286,-2.891805,-82.546698,76226.000000,742,6.500000
0.900000,0.800000,success,-5.424362,-83.317382,-3.228131,-82.992510,75496.000000,776,5.500000
0.900000,0.900000,success,-5.779796,-82.913321,-2.891805,-83.004409,74983.000000,796,6.500000
0.900000,1.000000,success,-5.631525,-82.711290,-2.891805,-82.963491,75197.000000,806,6.500000
0.900000,1.100000,success,-4.669842,-85.054844,-3.228131,-84.770147,76585.000000,690,5.500000
0.900000,1.200000,success,-5.782568,-82.064793,-2.891805,-83.111047,74979.000000,838,6.500000
0.900000,1.300000,success,-4.794556,-84.610377,-3.228131,-85.140467,76405.000000,712,5.500000
0.900000,1.400000,success,-4.466143,-85.539717,-3.564458,-86.442130,76879.000000,666,4.500000
0.900000,1.500000,success,-5.597575,-82.226417,-2.891805,-83.939058,75246.000000,830,6.500000
1.000000,0.500000,success,-4.825735,-84.165910,-2.891805,-90.437547,76360.000000,734,6.500000
1.000000,0.600000,success,-4.949063,-84.893220,-3.228131,-91.779162,76182.000000,698,5.500000
1.000000,0.700000,success,-5.310733,-82.832509,-2.891805,-90.167505,75660.000000,800,6.500000
1.000000,0.800000,success,-4.964999,-83.519412,-3.228131,-91.066916,76159.000000,766,5.500000
1.000000,0.900000,success,-3.956895,-84.691189,-3.228131,-91.553402,77614.000000,708,5.500000
1.000000,1.000000,success,-4.874235,-83.398194,-2.891805,-91.164234,76290.000000,772,6.500000
1.000000,1.100000,success,-4.624807,-84.852814,-2.891805,-92.658606,76650.000000,700,6.500000
1.000000,1.200000,success,-4.540971,-84.085098,-3.228131,-92.499827,76771.000000,738,5.500000
1.000000,1.300000,success,-4.680928,-83.802255,-3.228131,-92.679754,76569.000000,752,5.500000
1.000000,1.400000,success,-4.911649,-83.600225,-3.228131,-93.031257,76236.000000,762,5.500000
1.000000,1.500000,success,-5.059227,-83.600225,-2.891805,-92.997159,76023.000000,762,6.500000
1.100000,0.500000,success,-3.979066,-85.297281,-3.228131,-99.420141,77582.000000,678,5.500000
1.100000,0.600000,success,-4.489007,-84.408347,-3.228131,-99.275067,76846.000000,722,5.500000
1.100000,0.700000,success,-4.470993,-85.337687,-2.891805,-100.366712,76872.000000,676,6.500000
1.100000,0.800000,success,-4.634507,-83.963880,-3.228131,-99.577279,76636.000000,744,5.500000
1.100000,0.900000,success,-3.916709,-85.660936,-3.228131,-101.049057,77672.000000,660,5.500000
1.100000,1.000000,success,-3.787145,-85.660936,-3.228131,-101.242306,77859.000000,660,5.500000
1.100000,1.100000,success,-4.507714,-84.165910,-3.228131,-100.641160,76819.000000,734,5.500000
1.100000,1.200000,success,-3.945809,-84.893220,-3.564458,-101.605700,77630.000000,698,4.500000
1.100000,1.300000,success,-4.092001,-84.125504,-3.228131,-100.826627,77419.000000,736,5.500000
1.100000,1.400000,success,-4.865228,-84.489159,-3.228131,-102.322686,76303.000000,718,5.500000
1.100000,1.500000,success,-4.668457,-84.408347,-3.228131,-102.359835,76587.000000,722,5.500000
1.200000,0.500000,success,-2.937012,-85.660936,-3.564458,-107.512364,79086.000000,660,4.500000
