alpha,beta,status,emp_norm_hs,emp_norm_ps,emp_norm_md,norm_hs,norm_ps,norm_md,total_norm_score,empirical_score,raw_hs,raw_ps,raw_md
0.500000,0.500000,success,11.000000,9394.000000,49.500000,,,,,4732.750000,11.000000,9394,49.500000
0.500000,0.600000,success,11.000000,9394.000000,49.500000,,,,,4737.700000,11.000000,9394,49.500000
0.500000,0.700000,success,7.000000,9402.000000,49.500000,,,,,4742.650000,7.000000,9402,49.500000
0.500000,0.800000,success,33.000000,9350.000000,49.500000,,,,,4747.600000,33.000000,9350,49.500000
0.500000,0.900000,success,3.000000,9410.000000,49.500000,,,,,4752.550000,3.000000,9410,49.500000
0.500000,1.000000,success,8.000000,9400.000000,49.500000,,,,,4757.500000,8.000000,9400,49.500000
0.500000,1.100000,success,0.000000,9414.000000,49.500000,,,,,4761.450000,0.000000,9414,49.500000
0.500000,1.200000,success,3.000000,9410.000000,49.500000,,,,,4767.400000,3.000000,9410,49.500000
0.500000,1.300000,success,20.000000,9378.000000,49.500000,,,,,4773.350000,20.000000,9378,49.500000
0.500000,1.400000,success,0.000000,9414.000000,49.500000,,,,,4776.300000,0.000000,9414,49.500000
0.500000,1.500000,success,0.000000,9414.000000,49.500000,,,,,4781.250000,0.000000,9414,49.500000
0.600000,0.500000,success,94.000000,9230.000000,49.500000,,,,,5656.750000,94.000000,9230,49.500000
0.600000,0.600000,success,94.000000,9230.000000,49.500000,,,,,5661.700000,94.000000,9230,49.500000
0.600000,0.700000,success,94.000000,9230.000000,49.500000,,,,,5666.650000,94.000000,9230,49.500000
0.600000,0.800000,success,94.000000,9230.000000,49.500000,,,,,5671.600000,94.000000,9230,49.500000
0.600000,0.900000,success,94.000000,9230.000000,49.500000,,,,,5676.550000,94.000000,9230,49.500000
0.600000,1.000000,success,94.000000,9230.000000,49.500000,,,,,5681.500000,94.000000,9230,49.500000
0.600000,1.100000,success,94.000000,9230.000000,49.500000,,,,,5686.450000,94.000000,9230,49.500000
0.600000,1.200000,success,94.000000,9230.000000,49.500000,,,,,5691.400000,94.000000,9230,49.500000
0.600000,1.300000,success,94.000000,9230.000000,49.500000,,,,,5696.350000,94.000000,9230,49.500000
0.600000,1.400000,success,94.000000,9230.000000,49.500000,,,,,5701.300000,94.000000,9230,49.500000
0.600000,1.500000,success,94.000000,9230.000000,49.500000,,,,,5706.250000,94.000000,9230,49.500000
0.700000,0.500000,success,94.000000,9230.000000,49.500000,,,,,6579.750000,94.000000,9230,49.500000
0.700000,0.600000,success,94.000000,9230.000000,49.500000,,,,,6584.700000,94.000000,9230,49.500000
