alpha,beta,status,emp_norm_hs,emp_norm_ps,emp_norm_md,norm_hs,norm_ps,norm_md,total_norm_score,empirical_score,raw_hs,raw_ps,raw_md
0.500000,0.500000,success,97.489486,154.188627,6.285896,0.384008,0.154419,0.165829,0.544132,519553.250000,511998.000000,15094,16.500000
0.500000,0.600000,success,97.474634,150.981045,6.285896,0.383950,0.152929,0.165829,0.559912,519319.900000,511920.000000,14780,16.500000
0.500000,0.700000,success,100.911343,152.635912,5.523969,0.397487,0.151237,0.145729,0.575115,537450.150000,529969.000000,14942,14.500000
0.500000,0.800000,success,99.218218,152.697204,5.904933,0.390818,0.152626,0.155779,0.591754,528563.400000,521077.000000,14948,15.500000
0.500000,0.900000,success,100.941427,155.394023,5.523969,0.397605,0.154343,0.145729,0.605933,537746.050000,530127.000000,15212,14.500000
0.500000,1.000000,success,100.842795,155.087566,5.523969,0.397217,0.154747,0.145729,0.620319,537214.500000,529609.000000,15182,14.500000
0.500000,1.100000,success,99.332845,154.066044,5.904933,0.391269,0.155177,0.155779,0.640214,529237.050000,521679.000000,15082,15.500000
0.500000,1.200000,success,100.883924,153.187534,5.523969,0.397379,0.151439,0.145729,0.647973,537340.400000,529825.000000,14996,14.500000
0.500000,1.300000,success,100.681708,154.106905,5.523969,0.396582,0.152374,0.145729,0.662216,536324.850000,528763.000000,15086,14.500000
0.500000,1.400000,success,101.012260,154.801540,5.523969,0.397884,0.156263,0.145729,0.680036,538096.300000,530499.000000,15154,14.500000
0.500000,1.500000,success,99.163380,153.596143,5.904933,0.390602,0.154040,0.155779,0.701290,528330.250000,520789.000000,15036,15.500000
0.600000,0.500000,success,98.336810,141.460455,6.285896,0.387346,0.128737,0.165829,0.547503,524765.050000,516448.000000,13848,16.500000
0.600000,0.600000,success,98.132120,142.216381,6.285896,0.386539,0.130126,0.165829,0.564113,523736.100000,515373.000000,13922,16.500000
0.600000,0.700000,success,101.472100,143.401348,5.523969,0.399695,0.130859,0.145729,0.580221,541346.950000,532914.000000,14038,14.500000
0.600000,0.800000,success,98.119934,140.112045,6.285896,0.386491,0.127197,0.165829,0.595473,523551.800000,515309.000000,13716,16.500000
0.600000,0.900000,success,99.636358,141.746481,5.904933,0.392465,0.128409,0.155779,0.609711,531612.550000,523273.000000,13876,15.500000
0.600000,1.000000,success,99.627218,142.093799,5.904933,0.392429,0.132854,0.155779,0.627920,531586.500000,523225.000000,13910,15.500000
0.600000,1.100000,success,101.161541,142.012077,5.523969,0.398472,0.131136,0.145729,0.637456,539640.150000,531283.000000,13902,14.500000
