alpha,beta,status,anal_norm_hs,anal_norm_ps,anal_norm_md,total_analytical_score,scaled_hs,scaled_ps,scaled_md,total_scaled_score,raw_hs,raw_ps,raw_md
0.500000,0.500000,success,-39.968565,-130.917120,-1.127379,-105.990814,0.689840,0.932033,0.505637,1.408675,1730771.000000,25128,25.500000
0.500000,0.600000,success,-37.379712,-131.492374,-1.736561,-104.167835,0.678654,0.932758,0.508682,1.450242,1764401.000000,25042,23.500000
0.500000,0.700000,success,-36.022392,-131.104412,-2.041151,-103.003404,0.672706,0.932270,0.510204,1.495984,1782033.000000,25100,22.500000
0.500000,0.800000,success,-31.637662,-129.887014,-2.954923,-98.945108,0.653113,0.930716,0.514770,1.530288,1838992.000000,25282,19.500000
0.500000,0.900000,success,-30.181038,-129.124468,-3.259514,-97.676834,0.646484,0.929726,0.516292,1.576010,1857914.000000,25396,18.500000
0.500000,1.000000,success,-29.987509,-130.823474,-3.259514,-98.658760,0.645599,0.931914,0.516292,1.627848,1860428.000000,25142,18.500000
0.500000,1.100000,success,-28.526881,-131.800068,-3.564105,-98.347431,0.638887,0.933143,0.517813,1.675053,1879402.000000,24996,17.500000
0.500000,1.200000,success,-28.574686,-128.950554,-3.564105,-97.326889,0.639108,0.929498,0.517813,1.725233,1878781.000000,25422,17.500000
0.500000,1.300000,success,-25.586459,-129.244870,-4.173286,-95.634166,0.625212,0.929883,0.520854,1.767264,1917599.000000,25378,15.500000
0.500000,1.400000,success,-27.193195,-128.455568,-3.868695,-96.837152,0.632711,0.928847,0.519334,1.824202,1896727.000000,25496,16.500000
0.500000,1.500000,success,-25.603471,-128.428812,-4.173286,-96.077806,0.625291,0.928812,0.520854,1.870979,1917378.000000,25500,15.500000
0.600000,0.500000,success,-35.808001,-152.054362,-1.736561,-127.908899,0.671761,0.954396,0.508682,1.498740,1784818.000000,21968,23.500000
0.600000,0.600000,success,-32.108397,-152.562726,-2.650333,-125.236233,0.655243,0.954837,0.513249,1.536094,1832877.000000,21892,20.500000
0.600000,0.700000,success,-33.077197,-154.529292,-2.345742,-127.436791,0.659607,0.956503,0.511727,1.591717,1820292.000000,21598,21.500000
0.600000,0.800000,success,-30.459707,-151.626266,-2.954923,-123.799405,0.647757,0.954022,0.514770,1.631986,1854294.000000,22032,19.500000
0.600000,0.900000,success,-29.164126,-151.800180,-3.259514,-123.177796,0.641822,0.954174,0.516292,1.678990,1871124.000000,22006,18.500000
0.600000,1.000000,success,-29.203309,-150.917232,-3.259514,-123.013162,0.642002,0.953396,0.516292,1.730332,1870615.000000,22138,18.500000
0.600000,1.100000,success,-27.906188,-150.957366,-3.564105,-122.401123,0.636018,0.953432,0.517813,1.777672,1887465.000000,22132,17.500000
0.600000,1.200000,success,-26.441250,-149.833614,-3.868695,-120.983853,0.629209,0.952424,0.519334,1.823864,1906495.000000,22300,16.500000
0.600000,1.300000,success,-26.445022,-151.545998,-3.868695,-122.401925,0.629227,0.953952,0.519334,1.876732,1906446.000000,22044,16.500000
0.600000,1.400000,success,-26.565727,-151.519242,-3.868695,-122.893446,0.629790,0.953928,0.519334,1.929214,1904878.000000,22048,16.500000
0.600000,1.500000,success,-26.329936,-150.261710,-3.868695,-122.290005,0.628689,0.952810,0.519334,1.979376,1907941.000000,22236,16.500000
0.700000,0.500000,success,-32.370824,-171.051124,-2.041151,-153.127186,0.656428,0.968355,0.510204,1.589379,1829468.000000,19128,22.500000
0.700000,0.600000,success,-32.227024,-172.215010,-2.041151,-154.002222,0.655779,0.969061,0.510204,1.640244,1831336.000000,18954,22.500000
0.700000,0.700000,success,-30.367869,-168.335390,-2.650333,-150.057875,0.647338,0.966648,0.513249,1.683265,1855487.000000,19534,20.500000
0.700000,0.800000,success,-30.352781,-168.830376,-2.650333,-150.654310,0.647269,0.966965,0.513249,1.734743,1855683.000000,19460,20.500000
0.700000,0.900000,success,-27.938058,-169.579544,-3.259514,-149.577301,0.636166,0.967441,0.516292,1.778037,1887051.000000,19348,18.500000
0.700000,1.000000,success,-26.786353,-169.820348,-3.564105,-149.224701,0.630818,0.967592,0.517813,1.825945,1902012.000000,19312,17.500000
0.700000,1.100000,success,-26.470887,-169.218338,-3.564105,-148.844239,0.629347,0.967212,0.517813,1.875990,1906110.000000,19402,17.500000
0.700000,1.200000,success,-25.630183,-167.211638,-3.868695,-147.320764,0.625417,0.965915,0.519334,1.924758,1917031.000000,19702,16.500000
0.700000,1.300000,success,-25.573141,-166.061129,-3.868695,-146.845236,0.625149,0.965150,0.519334,1.975888,1917772.000000,19874,16.500000
0.700000,1.400000,success,-24.088342,-168.803620,-4.173286,-148.093476,0.618165,0.966948,0.520854,2.024225,1937060.000000,19464,15.500000
0.700000,1.500000,success,-25.441196,-167.091236,-3.868695,-148.208104,0.624531,0.965836,0.519334,2.079617,1919486.000000,19720,16.500000
0.800000,0.500000,success,-30.768168,-185.914083,-1.431970,-180.215419,0.649163,0.976300,0.507159,1.683783,1850287.000000,16906,24.500000
0.800000,0.600000,success,-28.031897,-184.656551,-2.650333,-177.347337,0.636600,0.975711,0.513249,1.725118,1885832.000000,17094,20.500000
0.800000,0.700000,success,-27.067948,-182.984301,-2.954923,-175.523835,0.632128,0.974905,0.514770,1.772392,1898354.000000,17344,19.500000
0.800000,0.800000,success,-26.977188,-186.154887,-2.954923,-178.265036,0.631706,0.976411,0.514770,1.824651,1899533.000000,16870,19.500000
