alpha,beta,status,norm_hs,norm_ps,norm_md,total_norm_score,empirical_score,raw_hs,raw_ps,raw_md
0.500000,0.500000,execution_error,,,,,,,,
0.500000,0.600000,execution_error,,,,,,,,
0.500000,0.700000,execution_error,,,,,,,,
0.500000,0.800000,execution_error,,,,,,,,
0.500000,0.900000,execution_error,,,,,,,,
0.500000,1.000000,execution_error,,,,,,,,
0.500000,1.100000,execution_error,,,,,,,,
0.500000,1.200000,execution_error,,,,,,,,
0.500000,1.300000,execution_error,,,,,,,,
0.500000,1.400000,execution_error,,,,,,,,
0.500000,1.500000,execution_error,,,,,,,,
0.600000,0.500000,execution_error,,,,,,,,
0.600000,0.600000,execution_error,,,,,,,,
0.600000,0.700000,execution_error,,,,,,,,
0.600000,0.800000,execution_error,,,,,,,,
0.600000,0.900000,execution_error,,,,,,,,
0.600000,1.000000,execution_error,,,,,,,,
0.600000,1.100000,execution_error,,,,,,,,
0.600000,1.200000,execution_error,,,,,,,,
0.600000,1.300000,execution_error,,,,,,,,
0.600000,1.400000,execution_error,,,,,,,,
0.600000,1.500000,execution_error,,,,,,,,
0.700000,0.500000,execution_error,,,,,,,,
0.700000,0.600000,execution_error,,,,,,,,
0.700000,0.700000,execution_error,,,,,,,,
0.700000,0.800000,execution_error,,,,,,,,
0.700000,0.900000,execution_error,,,,,,,,
0.700000,1.000000,execution_error,,,,,,,,
0.700000,1.100000,execution_error,,,,,,,,
0.700000,1.200000,execution_error,,,,,,,,
0.700000,1.300000,execution_error,,,,,,,,
0.700000,1.400000,execution_error,,,,,,,,
0.700000,1.500000,execution_error,,,,,,,,
0.800000,0.500000,execution_error,,,,,,,,
0.800000,0.600000,execution_error,,,,,,,,
0.800000,0.700000,execution_error,,,,,,,,
0.800000,0.800000,execution_error,,,,,,,,
0.800000,0.900000,execution_error,,,,,,,,
0.800000,1.000000,execution_error,,,,,,,,
0.800000,1.100000,execution_error,,,,,,,,
0.800000,1.200000,execution_error,,,,,,,,
0.800000,1.300000,execution_error,,,,,,,,
0.800000,1.400000,execution_error,,,,,,,,
0.800000,1.500000,execution_error,,,,,,,,
0.900000,0.500000,execution_error,,,,,,,,
0.900000,0.600000,execution_error,,,,,,,,
0.900000,0.700000,execution_error,,,,,,,,
0.900000,0.800000,execution_error,,,,,,,,
0.900000,0.900000,execution_error,,,,,,,,
0.900000,1.000000,execution_error,,,,,,,,
0.900000,1.100000,execution_error,,,,,,,,
0.900000,1.200000,execution_error,,,,,,,,
0.900000,1.300000,execution_error,,,,,,,,
0.900000,1.400000,execution_error,,,,,,,,
0.900000,1.500000,execution_error,,,,,,,,
1.000000,0.500000,execution_error,,,,,,,,
1.000000,0.600000,execution_error,,,,,,,,
1.000000,0.700000,execution_error,,,,,,,,
1.000000,0.800000,execution_error,,,,,,,,
1.000000,0.900000,execution_error,,,,,,,,
1.000000,1.000000,execution_error,,,,,,,,
1.000000,1.100000,execution_error,,,,,,,,
1.000000,1.200000,execution_error,,,,,,,,
1.000000,1.300000,execution_error,,,,,,,,
1.000000,1.400000,execution_error,,,,,,,,
1.000000,1.500000,execution_error,,,,,,,,
1.100000,0.500000,execution_error,,,,,,,,
1.100000,0.600000,execution_error,,,,,,,,
1.100000,0.700000,execution_error,,,,,,,,
1.100000,0.800000,execution_error,,,,,,,,
1.100000,0.900000,execution_error,,,,,,,,
1.100000,1.000000,execution_error,,,,,,,,
1.100000,1.100000,execution_error,,,,,,,,
1.100000,1.200000,execution_error,,,,,,,,
1.100000,1.300000,execution_error,,,,,,,,
1.100000,1.400000,execution_error,,,,,,,,
1.100000,1.500000,execution_error,,,,,,,,
1.200000,0.500000,execution_error,,,,,,,,
1.200000,0.600000,execution_error,,,,,,,,
1.200000,0.700000,execution_error,,,,,,,,
1.200000,0.800000,execution_error,,,,,,,,
1.200000,0.900000,execution_error,,,,,,,,
1.200000,1.000000,execution_error,,,,,,,,
1.200000,1.100000,execution_error,,,,,,,,
1.200000,1.200000,execution_error,,,,,,,,
1.200000,1.300000,execution_error,,,,,,,,
1.200000,1.400000,execution_error,,,,,,,,
1.200000,1.500000,execution_error,,,,,,,,
1.300000,0.500000,execution_error,,,,,,,,
1.300000,0.600000,execution_error,,,,,,,,
1.300000,0.700000,execution_error,,,,,,,,
1.300000,0.800000,execution_error,,,,,,,,
1.300000,0.900000,execution_error,,,,,,,,
1.300000,1.000000,execution_error,,,,,,,,
1.300000,1.100000,execution_error,,,,,,,,
1.300000,1.200000,execution_error,,,,,,,,
1.300000,1.300000,execution_error,,,,,,,,
1.300000,1.400000,execution_error,,,,,,,,
1.300000,1.500000,execution_error,,,,,,,,
1.400000,0.500000,execution_error,,,,,,,,
1.400000,0.600000,execution_error,,,,,,,,
1.400000,0.700000,execution_error,,,,,,,,
1.400000,0.800000,execution_error,,,,,,,,
1.400000,0.900000,execution_error,,,,,,,,
1.400000,1.000000,execution_error,,,,,,,,
1.400000,1.100000,execution_error,,,,,,,,
1.400000,1.200000,execution_error,,,,,,,,
1.400000,1.300000,execution_error,,,,,,,,
1.400000,1.400000,execution_error,,,,,,,,
1.400000,1.500000,execution_error,,,,,,,,
1.500000,0.500000,execution_error,,,,,,,,
1.500000,0.600000,execution_error,,,,,,,,
1.500000,0.700000,execution_error,,,,,,,,
1.500000,0.800000,execution_error,,,,,,,,
1.500000,0.900000,execution_error,,,,,,,,
1.500000,1.000000,execution_error,,,,,,,,
1.500000,1.100000,execution_error,,,,,,,,
1.500000,1.200000,execution_error,,,,,,,,
1.500000,1.300000,execution_error,,,,,,,,
1.500000,1.400000,execution_error,,,,,,,,
1.500000,1.500000,execution_error,,,,,,,,
