alpha,beta,status,norm_hs,norm_ps,norm_md,total_norm_score,raw_hs,raw_ps,raw_md
0.500000,0.500000,success,1.501875,2.605023,1.500000,11.750000,8.000000,6,1.500000
0.500000,0.600000,success,1.501875,2.605023,1.500000,11.900000,8.000000,6,1.500000
0.500000,0.700000,success,2.440547,1.736682,0.500000,15.350000,13.000000,4,0.500000
0.500000,0.800000,success,1.501875,2.605023,1.500000,12.200000,8.000000,6,1.500000
0.500000,0.900000,success,2.440547,1.736682,0.500000,15.450000,13.000000,4,0.500000
0.500000,1.000000,success,2.440547,1.736682,0.500000,15.500000,13.000000,4,0.500000
0.500000,1.100000,success,2.440547,1.736682,0.500000,15.550000,13.000000,4,0.500000
0.500000,1.200000,success,2.440547,1.736682,0.500000,15.600000,13.000000,4,0.500000
0.500000,1.300000,success,2.440547,1.736682,0.500000,15.650000,13.000000,4,0.500000
0.500000,1.400000,success,2.440547,1.736682,0.500000,15.700000,13.000000,4,0.500000
0.500000,1.500000,success,2.440547,1.736682,0.500000,15.750000,13.000000,4,0.500000
0.600000,0.500000,success,1.501875,2.605023,1.500000,12.350000,8.000000,6,1.500000
0.600000,0.600000,success,1.501875,2.605023,1.500000,12.500000,8.000000,6,1.500000
0.600000,0.700000,success,2.440547,1.736682,0.500000,15.750000,13.000000,4,0.500000
0.600000,0.800000,success,2.440547,1.736682,0.500000,15.800000,13.000000,4,0.500000
0.600000,0.900000,success,2.440547,1.736682,0.500000,15.850000,13.000000,4,0.500000
0.600000,1.000000,success,2.440547,1.736682,0.500000,15.900000,13.000000,4,0.500000
0.600000,1.100000,success,2.440547,1.736682,0.500000,15.950000,13.000000,4,0.500000
0.600000,1.200000,success,2.440547,1.736682,0.500000,16.000000,13.000000,4,0.500000
0.600000,1.300000,success,2.440547,1.736682,0.500000,16.050000,13.000000,4,0.500000
0.600000,1.400000,success,2.440547,1.736682,0.500000,16.100000,13.000000,4,0.500000
0.600000,1.500000,success,2.440547,1.736682,0.500000,16.150000,13.000000,4,0.500000
0.700000,0.500000,success,2.440547,1.736682,0.500000,16.050000,13.000000,4,0.500000
0.700000,0.600000,success,2.440547,1.736682,0.500000,16.100000,13.000000,4,0.500000
0.700000,0.700000,success,2.440547,1.736682,0.500000,16.150000,13.000000,4,0.500000
0.700000,0.800000,success,2.440547,1.736682,0.500000,16.200000,13.000000,4,0.500000
0.700000,0.900000,success,2.440547,1.736682,0.500000,16.250000,13.000000,4,0.500000
0.700000,1.000000,success,2.440547,1.736682,0.500000,16.300000,13.000000,4,0.500000
0.700000,1.100000,success,2.440547,1.736682,0.500000,16.350000,13.000000,4,0.500000
0.700000,1.200000,success,2.440547,1.736682,0.500000,16.400000,13.000000,4,0.500000
0.700000,1.300000,success,2.440547,1.736682,0.500000,16.450000,13.000000,4,0.500000
0.700000,1.400000,success,2.440547,1.736682,0.500000,16.500000,13.000000,4,0.500000
0.700000,1.500000,success,2.440547,1.736682,0.500000,16.550000,13.000000,4,0.500000
0.800000,0.500000,success,2.440547,1.736682,0.500000,16.450000,13.000000,4,0.500000
0.800000,0.600000,success,2.440547,1.736682,0.500000,16.500000,13.000000,4,0.500000
0.800000,0.700000,success,2.440547,1.736682,0.500000,16.550000,13.000000,4,0.500000
0.800000,0.800000,success,2.440547,1.736682,0.500000,16.600000,13.000000,4,0.500000
0.800000,0.900000,success,2.440547,1.736682,0.500000,16.650000,13.000000,4,0.500000
0.800000,1.000000,success,2.440547,1.736682,0.500000,16.700000,13.000000,4,0.500000
0.800000,1.100000,success,2.440547,1.736682,0.500000,16.750000,13.000000,4,0.500000
0.800000,1.200000,success,2.440547,1.736682,0.500000,16.800000,13.000000,4,0.500000
0.800000,1.300000,success,2.440547,1.736682,0.500000,16.850000,13.000000,4,0.500000
0.800000,1.400000,success,2.440547,1.736682,0.500000,16.900000,13.000000,4,0.500000
0.800000,1.500000,success,2.440547,1.736682,0.500000,16.950000,13.000000,4,0.500000
0.900000,0.500000,success,2.440547,1.736682,0.500000,16.850000,13.000000,4,0.500000
0.900000,0.600000,success,2.440547,1.736682,0.500000,16.900000,13.000000,4,0.500000
0.900000,0.700000,success,2.440547,1.736682,0.500000,16.950000,13.000000,4,0.500000
0.900000,0.800000,success,2.440547,1.736682,0.500000,17.000000,13.000000,4,0.500000
0.900000,0.900000,success,2.440547,1.736682,0.500000,17.050000,13.000000,4,0.500000
0.900000,1.000000,success,2.440547,1.736682,0.500000,17.100000,13.000000,4,0.500000
0.900000,1.100000,success,2.440547,1.736682,0.500000,17.150000,13.000000,4,0.500000
0.900000,1.200000,success,2.440547,1.736682,0.500000,17.200000,13.000000,4,0.500000
0.900000,1.300000,success,2.440547,1.736682,0.500000,17.250000,13.000000,4,0.500000
0.900000,1.400000,success,2.440547,1.736682,0.500000,17.300000,13.000000,4,0.500000
0.900000,1.500000,success,2.440547,1.736682,0.500000,17.350000,13.000000,4,0.500000
1.000000,0.500000,success,2.440547,1.736682,0.500000,17.250000,13.000000,4,0.500000
1.000000,0.600000,success,2.440547,1.736682,0.500000,17.300000,13.000000,4,0.500000
1.000000,0.700000,success,2.440547,1.736682,0.500000,17.350000,13.000000,4,0.500000
1.000000,0.800000,success,2.440547,1.736682,0.500000,17.400000,13.000000,4,0.500000
1.000000,0.900000,success,2.440547,1.736682,0.500000,17.450000,13.000000,4,0.500000
1.000000,1.000000,success,2.440547,1.736682,0.500000,17.500000,13.000000,4,0.500000
1.000000,1.100000,success,2.440547,1.736682,0.500000,17.550000,13.000000,4,0.500000
1.000000,1.200000,success,2.440547,1.736682,0.500000,17.600000,13.000000,4,0.500000
1.000000,1.300000,success,2.440547,1.736682,0.500000,17.650000,13.000000,4,0.500000
1.000000,1.400000,success,2.440547,1.736682,0.500000,17.700000,13.000000,4,0.500000
1.000000,1.500000,success,2.440547,1.736682,0.500000,17.750000,13.000000,4,0.500000
1.100000,0.500000,success,2.440547,1.736682,0.500000,17.650000,13.000000,4,0.500000
1.100000,0.600000,success,2.440547,1.736682,0.500000,17.700000,13.000000,4,0.500000
