Round,Match 1,Match 2
Round 1,4v1(H),3v2(H)
Round 2,3v1(H),2v4(H)
Round 3,1v2(H),4v3(H)

Metric,Value
Overall Analytical Normalized Score (Z-sum),-3.7204573097181663
"Overall Scaled Score ([0,1] sum)",1.5186012269551286
Raw Home Strength,3.0
Analytical Norm HS (Z-Score),-0.8944271909999159
"Scaled HS ([0,1])",0.5044720167018569
Raw Penalty Sequence,2
Analytical Norm PS (Z-Score),-1.414213562373095
"Scaled PS ([0,1])",0.5070705964450539
Raw Max Deviation,0.5
Analytical Norm MD (Z-Score),-1.412216057349812
"Scaled MD ([0,1])",0.5070606109143571
Home Games Player 1,1
Home Games Player 2,1
Home Games Player 3,2
Home Games Player 4,2
Sequence Player 1,AAH
Sequence Player 2,AHA
Sequence Player 3,HHA
Sequence Player 4,HAH
