Round,Match 1,Match 2,Match 3
Round 1,6v1(H),5v2(H),4v3(H)
Round 2,1v5(H),6v4(H),3v2(H)
Round 3,4v1(H),5v3(H),2v6(H)
Round 4,1v3(H),4v2(H),6v5(H)
Round 5,2v1(H),3v6(H),5v4(H)

Metric,Value
Overall Analytical Normalized Score (Z-sum),-1069.5011684598242
"Overall Scaled Score ([0,1] sum)",1.262553501354617
Raw Home Strength,13.0
Analytical Norm HS (Z-Score),-0.8783100656536798
"Scaled HS ([0,1])",0.504391437406173
Raw Penalty Sequence,4
Analytical Norm PS (Z-Score),-3.2659863237109046
"Scaled PS ([0,1])",0.5163241278968878
Raw Max Deviation,0.5
Analytical Norm MD (Z-Score),-2133.97973046463
"Scaled MD ([0,1])",1.0
Home Games Player 1,2
Home Games Player 2,2
Home Games Player 3,2
Home Games Player 4,3
Home Games Player 5,3
Home Games Player 6,3
Sequence Player 1,AHAHA
Sequence Player 2,AAHAH
Sequence Player 3,AHAAH
Sequence Player 4,HAHHA
Sequence Player 5,HAHAH
Sequence Player 6,HHAHA
