Round,Match 1,Match 2,Match 3
Round 1,7v2(H),6v3(H),5v4(H)
Round 2,1v7(H),2v5(H),4v3(H)
Round 3,6v1(H),7v5(H),3v2(H)
Round 4,5v1(H),4v6(H),7v3(H)
Round 5,1v4(H),5v3(H),6v2(H)
Round 6,3v1(H),2v4(H),7v6(H)
Round 7,1v2(H),4v7(H),6v5(H)

Metric,Value
Overall Analytical Normalized Score (Z-sum),-5.305470120566246
"Overall Scaled Score ([0,1] sum)",1.52652380410896
Raw Home Strength,20.0
Analytical Norm HS (Z-Score),-1.1428571428571428
"Scaled HS ([0,1])",0.5057140369420544
Raw Penalty Sequence,10
Analytical Norm PS (Z-Score),-2.53546276418555
"Scaled PS ([0,1])",0.5126745979520445
Raw Max Deviation,1.0
Analytical Norm MD (Z-Score),-1.778535638633886
"Scaled MD ([0,1])",0.5088917406710582
Home Games Player 1,3
Home Games Player 2,2
Home Games Player 3,2
Home Games Player 4,3
Home Games Player 5,3
Home Games Player 6,4
Home Games Player 7,4
Sequence Player 1,HAAHAH
Sequence Player 2,AHAAHA
Sequence Player 3,AAHAAH
Sequence Player 4,AHHAAH
Sequence Player 5,HAAHHA
Sequence Player 6,HHAHAH
Sequence Player 7,HAHHHA
