Round,Match 1,Match 2,Match 3,Match 4
Round 1,8v1(H),7v2(H),6v3(H),4v5(H)
Round 2,1v7(H),8v6(H),5v2(H),3v4(H)
Round 3,6v1(H),7v5(H),4v8(H),2v3(H)
Round 4,1v5(H),6v4(H),3v7(H),8v2(H)
Round 5,4v1(H),5v3(H),2v6(H),7v8(H)
Round 6,1v3(H),4v2(H),8v5(H),6v7(H)
Round 7,2v1(H),3v8(H),7v4(H),5v6(H)

Metric,Value
Overall Analytical Normalized Score (Z-sum),-8.090701540946673
"Overall Scaled Score ([0,1] sum)",1.54043106153045
Raw Home Strength,35.0
Analytical Norm HS (Z-Score),-0.7637626158259733
"Scaled HS ([0,1])",0.5038187388261637
Raw Penalty Sequence,6
Analytical Norm PS (Z-Score),-5.196152422706632
"Scaled PS ([0,1])",0.5259574046533637
Raw Max Deviation,0.5
Analytical Norm MD (Z-Score),-2.641680822462828
"Scaled MD ([0,1])",0.5132053324846626
Home Games Player 1,3
Home Games Player 2,3
Home Games Player 3,3
Home Games Player 4,4
Home Games Player 5,3
Home Games Player 6,4
Home Games Player 7,4
Home Games Player 8,4
Sequence Player 1,AHAHAHA
Sequence Player 2,AAHAHAH
Sequence Player 3,AHAHAAH
Sequence Player 4,HAHAHHA
Sequence Player 5,AHAAHAH
Sequence Player 6,HAHHAHA
Sequence Player 7,HAHAHAH
Sequence Player 8,HHAHAHA
